air,fw,fw_sed,sw,sw_sed,undeveloped_soil,deep_undeveloped_soil,urban_soil,deep_urban_soil,agricultural_soil,deep_agricultural_soil,biosolids_soil,deep_biosolids_soil
8.246466937892353e-10,1.4106210691041516e-06,1.5559192823476317e-06,0.0,0.0,8.739670077291389e-10,0.0,1.196642533907244e-07,1.0844969261962931e-12,7.225177712380252e-10,0.0,8.173342178925952e-06,0.0
3.0550200566309913e-09,2.1214294689541046e-06,5.226793937928449e-06,0.0,0.0,1.7631300534922173e-09,0.0,2.391166920322409e-07,1.0844969261962931e-12,1.4645552888451465e-09,0.0,1.633131748049808e-05,0.0
3.718211299314017e-09,2.4100637905655408e-06,9.77844931087525e-06,0.0,0.0,2.7047056265748643e-09,0.0,3.5860557847348163e-07,9.517690402171817e-12,2.269651861850237e-09,0.0,2.4487258559451296e-05,0.0
2.03342671620539e-09,2.5305315946975166e-06,1.4690504200644321e-05,0.0,0.0,3.928372431742909e-09,0.0,4.784268192236653e-07,4.6653725916337235e-11,3.4018120837820894e-09,0.0,3.264215960898319e-05,0.0
6.756519620180625e-09,2.5745303033702724e-06,1.9747009703664717e-05,0.0,0.0,5.140047366004015e-09,0.0,5.980830888332568e-07,4.6653725916337235e-11,4.515653533185601e-09,0.0,4.079723615536092e-05,0.0
9.822752790303022e-09,2.590158351918597e-06,2.4853666850291357e-05,0.0,0.0,6.157811517800991e-09,0.0,7.175479672722158e-07,4.6653725916337235e-11,5.406815115420523e-09,0.0,4.895280142658492e-05,0.0
1.171751371653621e-08,2.5972120052353694e-06,2.99795437844893e-05,0.0,0.0,7.126307964181249e-09,0.0,8.369883645320072e-07,5.827044860491634e-11,6.242416668332318e-09,0.0,5.710843954397767e-05,0.0
9.236110648563266e-09,2.603909758741663e-06,3.511745944007901e-05,0.0,0.0,8.230425554104908e-09,0.0,9.566084105038386e-07,8.813174783312686e-11,7.241223387232725e-09,0.0,6.526413428393767e-05,0.0
4.108193805623437e-09,2.6129531839676758e-06,4.026907917650015e-05,0.0,0.0,9.867390800422402e-09,0.0,1.076811681685573e-06,1.7912847497647287e-10,8.859628765337146e-09,0.0,7.341816735658589e-05,0.0
5.811802237909804e-09,2.613616020989789e-06,4.543002843790464e-05,0.0,0.0,1.167992697019081e-08,0.0,1.1969278582167572e-06,2.3946673900890844e-10,1.0682158575926808e-08,0.0,8.157277532912569e-05,0.0
1.2382166052641178e-08,2.6172126158362738e-06,5.059306325260444e-05,0.0,0.0,1.311940026591374e-08,0.0,1.3166076754256637e-06,2.3946673900890844e-10,1.2073705907997404e-08,0.0,8.972832402096412e-05,0.0
1.2746169697385065e-08,2.6178464379409625e-06,5.575871133694966e-05,0.0,0.0,1.4318254472761928e-08,0.0,1.4361435397191326e-06,2.7015134208163984e-10,1.3183235959171421e-08,0.0,9.788398308951668e-05,0.0
1.718961424607311e-08,2.5972321554031684e-06,6.090166697570651e-05,0.0,0.0,1.5412904928685457e-08,0.0,1.5556483419879861e-06,2.7015134208163984e-10,1.417028097831403e-08,0.0,0.00010603964698433681,0.0
2.0081224020923287e-08,2.5715690400144144e-06,6.599909450053071e-05,0.0,0.0,1.6415322907725398e-08,0.0,1.6751350048113468e-06,2.7015134208163984e-10,1.504788856362779e-08,0.0,0.00011419529943572349,0.0
2.2517131699903117e-08,2.5724986676563534e-06,7.107602953027964e-05,0.0,0.0,1.738995078821127e-08,0.0,1.794628583909618e-06,2.7015134208163984e-10,1.5892570663424597e-08,0.0,0.00012235095205031434,0.0
2.4804435984299124e-08,2.572320805540502e-06,7.615282438317728e-05,0.0,0.0,1.8428771621347234e-08,0.0,1.914132348491435e-06,2.7015134208163984e-10,1.677793135007804e-08,0.0,0.00013050660637651122,0.0
2.70293369865636e-08,2.5871767722515654e-06,8.124474356140655e-05,0.0,0.0,1.942440800322571e-08,0.0,2.0336466195613517e-06,2.7015134208163984e-10,1.7656836382911618e-08,0.0,0.00013866226260154571,0.0
2.9216234314743808e-08,2.608393965338969e-06,8.637087454503561e-05,0.0,0.0,2.0413216224388668e-08,0.0,2.1531713232265324e-06,2.7015134208163984e-10,1.8518432993314458e-08,0.0,0.0001468179207293343,0.0
3.1372219474542855e-08,2.61785471265266e-06,9.152354498043267e-05,0.0,0.0,2.1409158884862614e-08,0.0,2.2727063337006723e-06,2.7015134208163984e-10,1.938731174076039e-08,0.0,0.0001549735807392576,0.0
3.349953642873685e-08,2.6214913207979966e-06,9.668685198085567e-05,0.0,0.0,2.2414024377229993e-08,0.0,2.392251520199083e-06,2.7015134208163984e-10,2.0266680707287343e-08,0.0,0.00016312924260774715,0.0
3.5599077263858176e-08,2.6218406240566085e-06,0.00010185257003426927,0.0,0.0,2.3427950186766785e-08,0.0,2.511806749875284e-06,2.7015134208163984e-10,2.1156849067067665e-08,0.0,0.0001712849063105822,0.0
